timestamp TimeMS SV SP SH SMX SMY SMZ SVT OFN EFE FS DS
203.040 203040 27 9 1 8 22 9 0 0 0 0 0
203.060 203060 31 10 1 8 22 9 0 0 0 0 0
203.080 203080 31 10 11 7 22 9 0 0 0 0 0
203.100 203100 31 10 11 7 21 9 0 0 0 0 0
203.120 203120 31 10 11 7 21 4 0 0 0 0 0
203.140 203140 31 10 11 7 21 4 0 0 0 0 0
203.160 203160 31 10 11 7 21 4 0 0 0 0 0
203.180 203180 31 10 22 12 21 4 0 0 0 0 0
203.201 203201 31 10 22 12 14 4 0 0 0 0 0
203.221 203221 31 10 22 12 14 2 0 0 0 0 0
203.241 203241 31 10 22 12 14 2 0 0 0 0 0
203.261 203261 31 11 22 12 14 2 0 0 0 0 0
203.281 203281 31 11 29 4 14 2 0 0 0 0 0
203.301 203301 31 11 29 4 6 2 0 0 0 0 0
203.321 203321 31 11 29 4 6 2 0 0 0 0 0
203.341 203341 31 11 29 4 6 2 0 0 0 0 0
203.361 203361 31 11 29 4 6 2 0 0 0 0 0
203.381 203381 31 11 17 9 6 2 0 0 0 0 0
203.401 203401 31 11 17 9 13 2 0 0 0 0 0
203.421 203421 31 11 17 9 13 7 0 0 0 0 0
203.441 203441 31 11 17 9 13 7 0 0 0 0 0
203.462 203462 27 11 17 9 13 7 0 0 0 0 0
203.482 203482 27 11 19 11 13 7 0 0 0 0 0
203.502 203502 27 11 19 11 15 7 0 0 0 0 0
203.522 203522 27 11 19 11 15 0 0 0 0 0 0
203.542 203542 27 11 19 11 15 0 0 0 0 0 0
203.562 203562 27 11 19 11 15 0 0 0 0 0 0
203.582 203582 27 11 3 6 15 0 0 0 0 0 0
203.602 203602 27 11 3 6 14 0 0 0 0 0 0
203.622 203622 27 11 3 6 14 1 0 0 0 0 0
203.642 203642 27 11 3 6 14 1 0 0 0 0 0
203.662 203662 24 11 3 6 14 1 0 0 0 0 0
203.682 203682 24 11 32 10 14 1 0 0 0 0 0
203.702 203702 24 11 32 10 17 1 0 0 0 0 0
203.723 203723 24 11 32 10 17 0 0 0 0 0 0
203.743 203743 24 11 32 10 17 0 0 0 0 0 0
203.763 203763 24 11 32 10 17 0 0 0 0 0 0
203.783 203783 24 11 34 11 17 0 0 0 0 0 0
203.803 203803 24 11 34 11 17 0 0 0 0 0 0
203.823 203823 24 11 34 11 17 2 0 0 0 0 0
203.843 203843 21 4 34 11 17 2 0 0 0 0 0
203.863 203863 21 4 34 11 17 2 0 0 0 0 0
203.883 203883 21 4 18 4 17 2 0 0 0 0 0
203.903 203903 21 4 18 4 9 2 0 0 0 0 0
203.923 203923 21 4 18 4 9 5 0 0 0 0 0
203.943 203943 21 4 18 4 9 5 0 0 0 0 0
203.964 203964 21 4 18 4 9 5 0 0 0 0 0
203.984 203984 21 4 9 11 9 5 0 0 0 0 0
204.004 204004 21 4 9 11 10 5 0 0 0 0 0
204.024 204024 21 4 9 11 10 8 0 0 0 0 0
204.044 204044 23 4 9 11 10 8 0 0 0 0 0
204.064 204064 23 4 9 11 10 8 0 0 0 0 0
204.084 204084 23 4 12 0 10 8 0 0 0 0 0
204.104 204104 23 4 12 0 13 8 0 0 0 0 0
204.124 204124 23 4 12 0 13 6 0 0 0 0 0
204.144 204144 23 4 12 0 13 6 0 0 0 0 0
204.164 204164 23 4 12 0 13 6 0 0 0 0 0
204.184 204184 23 4 9 4 13 6 0 0 0 0 0
204.205 204205 23 4 9 4 13 6 0 0 0 0 0
204.225 204225 23 4 9 4 13 9 0 0 0 0 0
204.245 204245 22 5 9 4 13 9 0 0 0 0 0
204.265 204265 22 5 9 4 13 9 0 0 0 0 0
204.285 204285 22 5 22 3 13 9 0 0 0 0 0
204.305 204305 22 5 22 3 10 9 0 0 0 0 0
204.325 204325 22 5 22 3 10 4 0 0 0 0 0
204.345 204345 22 5 22 3 10 4 0 0 0 0 0
204.365 204365 22 5 22 3 10 4 0 0 0 0 0
204.385 204385 22 5 0 3 10 4 0 0 0 0 0
204.406 204406 22 5 0 3 13 4 0 0 0 0 0
204.425 204425 22 5 0 3 13 7 0 0 0 0 0
204.445 204445 15 6 0 3 13 7 0 0 0 0 0
204.466 204466 15 6 0 3 13 7 0 0 0 0 0
204.486 204486 15 6 3 6 13 7 0 0 0 0 0
204.506 204506 15 6 3 6 16 7 0 0 0 0 0
204.526 204526 15 6 3 6 16 6 0 0 0 0 0
204.546 204546 15 6 3 6 16 6 0 0 0 0 0
204.566 204566 15 6 3 6 16 6 0 0 0 0 0
204.586 204586 15 6 2 3 16 6 0 0 0 0 0
204.606 204606 15 6 2 3 15 6 0 0 0 0 0
204.626 204626 15 6 2 3 15 4 0 0 0 0 0
204.646 204646 14 6 2 3 15 4 0 0 0 0 0
204.666 204666 14 6 2 3 15 4 0 0 0 0 0
204.686 204686 14 6 4 2 15 4 0 0 0 0 0
204.707 204707 14 6 4 2 19 4 0 0 0 0 0
204.727 204727 14 6 4 2 19 0 0 0 0 0 0
204.747 204747 14 6 4 2 19 0 0 0 0 0 0
204.767 204767 14 6 4 2 19 0 0 0 0 0 0
204.787 204787 14 6 2 2 19 0 0 0 0 0 0
204.807 204807 14 6 2 2 11 0 0 0 0 0 0
204.827 204827 14 6 2 2 11 3 0 0 0 0 0
204.847 204847 28 8 2 2 11 3 0 0 0 0 0
204.867 204867 28 8 2 2 11 3 0 0 0 0 0
204.887 204887 28 8 26 4 11 3 0 0 0 0 0
204.907 204907 28 8 26 4 19 3 0 0 0 0 0
204.927 204927 28 8 26 4 19 3 0 0 0 0 0
204.947 204947 28 8 26 4 19 3 0 0 0 0 0
204.968 204968 28 8 26 4 19 3 0 0 0 0 0
204.988 204988 28 8 21 4 19 3 0 0 0 0 0
205.008 205008 28 8 21 4 19 3 0 0 0 0 0
205.028 205028 28 8 21 4 19 6 0 0 0 0 0
205.048 205048 37 12 21 4 19 6 0 0 0 0 0
205.068 205068 37 12 21 4 19 6 0 0 0 0 0
205.088 205088 37 12 2 2 19 6 0 0 0 0 0
205.108 205108 37 12 2 2 11 6 0 0 0 0 0
205.128 205128 37 12 2 2 11 3 0 0 0 0 0
205.148 205148 37 12 2 2 11 3 0 0 0 0 0
205.168 205168 37 12 2 2 11 3 0 0 0 0 0
205.188 205188 37 12 28 8 11 3 0 0 0 0 0
205.208 205208 37 12 28 8 5 3 0 0 0 0 0
205.228 205228 37 12 28 8 5 2 0 0 0 0 0
205.249 205249 36 15 28 8 5 2 0 0 0 0 0
205.269 205269 36 15 28 8 5 2 0 0 0 0 0
205.289 205289 36 15 24 2 5 2 0 0 0 0 0
205.309 205309 36 15 24 2 0 2 0 0 0 0 0
205.329 205329 36 15 24 2 0 4 0 0 0 0 0
205.349 205349 36 15 24 2 0 4 0 0 0 0 0
205.369 205369 36 15 24 2 0 4 0 0 0 0 0
205.389 205389 36 15 0 7 0 4 0 0 0 0 0
205.409 205409 36 15 0 7 5 4 0 0 0 0 0
205.429 205429 36 15 0 7 5 4 0 0 0 0 0
205.449 205449 30 15 0 7 5 4 0 0 0 0 0
205.469 205469 30 15 0 7 5 4 0 0 0 0 0
205.490 205490 30 15 6 12 5 4 0 0 0 0 0
205.510 205510 30 15 6 12 5 4 0 0 0 0 0
205.530 205530 30 15 6 12 5 5 0 0 0 0 0
205.550 205550 30 15 6 12 5 5 0 0 0 0 0
205.570 205570 30 15 6 12 5 5 0 0 0 0 0
205.590 205590 30 15 13 6 5 5 0 0 0 0 0
205.610 205610 30 15 13 6 5 5 0 0 0 0 0
205.630 205630 30 15 13 6 5 4 0 0 0 0 0
